Bevölkerung Population   VZ/RFP 2000;Gde;Kt Ct;PLZ  NPA ;Ortsbezeichnung                             Localité ;BFS-Nr.  No OFS;;Gemeinde                Commune  ;Region Région;Bezirk                                       District 
12571;1;BE;3074;Muri bei Bern;356;;Muri bei Bern;1;BERN
;;BE;3073;Gümligen;356;;Muri bei Bern;1;BERN
;;BE;3073;Melchenbühl;356;;Muri bei Bern;1;BERN
835;1;BE;3096;Oberbalm;357;;Oberbalm;1;BERN
15452;1;BE;3072;Ostermundigen;363;;Ostermundigen;1;BERN
;;BE;3066;Deisswil bei Stettlen *;363;;Ostermundigen;1;BERN
2833;1;BE;3066;Stettlen;358;;Stettlen;1;BERN
;;BE;3066;Deisswil bei Stettlen *;358;;Stettlen;1;BERN
4614;1;BE;3067;Vechigen;359;;Vechigen;1;BERN
;;BE;3076;Bangerten bei Worb *;359;;Vechigen;1;BERN
;;BE;3067;Boll;359;;Vechigen;1;BERN
;;BE;3076;Dentenberg;359;;Vechigen;1;BERN
;;BE;3067;Lindental bei Boll;359;;Vechigen;1;BERN
;;BE;3068;Littewil;359;;Vechigen;1;BERN
;;BE;3068;Radelfingen bei Utzigen;359;;Vechigen;1;BERN
;;BE;3067;Sinneringen;359;;Vechigen;1;BERN
;;BE;3068;Utzigen;359;;Vechigen;1;BERN
8952;1;BE;3033;Wohlen bei Bern;360;;Wohlen bei Bern;1;BERN
;;BE;3032;Hinterkappelen;360;;Wohlen bei Bern;1;BERN
;;BE;3033;Illiswil;360;;Wohlen bei Bern;1;BERN
;;BE;3044;Innerberg;360;;Wohlen bei Bern;1;BERN
;;BE;3043;Möriswil;360;;Wohlen bei Bern;1;BERN
;;BE;3034;Murzelen;360;;Wohlen bei Bern;1;BERN
;;BE;3043;Oberdettigen;360;;Wohlen bei Bern;1;BERN
;;BE;3044;Säriswil;360;;Wohlen bei Bern;1;BERN
;;BE;3034;Steinisweg;360;;Wohlen bei Bern;1;BERN
;;BE;3043;Uettligen;360;;Wohlen bei Bern;1;BERN
;;BE;3032;Unterdettigen;360;;Wohlen bei Bern;1;BERN
;;BE;3045;Weissenstein *;360;;Wohlen bei Bern;1;BERN
;;BE;3036;Wickacker;360;;Wohlen bei Bern;1;BERN
9437;1;BE;3052;Zollikofen;361;;Zollikofen;1;BERN
;;BE;3052;Reichenbach bei Bern;361;;Zollikofen;1;BERN
;;BE;3052;Rütti;361;;Zollikofen;1;BERN
;;BE;3052;Steinibach;361;;Zollikofen;1;BERN
48655;1;BE;2500;Biel BE;371;;Biel (BE);1;BIEL (BE)
;;BE;2501;Biel/Bienne;371;;Biel (BE);1;BIEL (BE)
;;BE;2502;Biel/Bienne;371;;Biel (BE);1;BIEL (BE)
;;BE;2503;Biel/Bienne;371;;Biel (BE);1;BIEL (BE)
;;BE;2504;Biel/Bienne;371;;Biel (BE);1;BIEL (BE)
;;BE;2505;Biel/Bienne;371;;Biel (BE);1;BIEL (BE)
;;BE;2510;Biel/Bienne;371;;Biel (BE);1;BIEL (BE)
;;BE;2500;Biel/Bienne 1 - 9;371;;Biel (BE);1;BIEL (BE)
;;BE;2500;Bienna;371;;Biel (BE);1;BIEL (BE)
;;BE;2500;Bienne;371;;Biel (BE);1;BIEL (BE)
;;BE;2504;Bözingen;371;;Biel (BE);1;BIEL (BE)
;;BE;2503;Madretsch;371;;Biel (BE);1;BIEL (BE)
;;BE;2504;Mett;371;;Biel (BE);1;BIEL (BE)
;;BE;2505;Vingelz;371;;Biel (BE);1;BIEL (BE)
2376;1;BE;2533;Evilard;372;;Evilard;1;BIEL (BE)
;;BE;2533;Leubringen;372;;Evilard;1;BIEL (BE)
;;BE;2532;Macolin;372;;Evilard;1;BIEL (BE)
;;BE;2532;Magglingen;372;;Evilard;1;BIEL (BE)
1588;1;BE;3296;Arch;381;;Arch;2;BÜREN
707;1;BE;3263;Büetigen;382;;Büetigen;2;BÜREN
3077;1;BE;3294;Büren an der Aare;383;;Büren an der Aare;2;BÜREN
;;BE;3294;Reiben;383;;Büren an der Aare;2;BÜREN
1891;1;BE;3292;Busswil bei Büren;384;;Busswil bei Büren;2;BÜREN
862;1;BE;3264;Diessbach bei Büren;385;;Diessbach bei Büren;2;BÜREN
1391;1;BE;3293;Dotzigen;386;;Dotzigen;2;BÜREN
4459;1;BE;2543;Lengnau;387;;Lengnau (BE);2;BÜREN
;;BE;2543;Longeau;387;;Lengnau (BE);2;BÜREN
1160;1;BE;3297;Leuzigen;388;;Leuzigen;2;BÜREN
59;1;BE;3294;Meienried;389;;Meienried;2;BÜREN
1189;1;BE;2554;Meinisberg;390;;Meinisberg;2;BÜREN
766;1;BE;3298;Oberwil bei Büren;391;;Oberwil bei Büren;2;BÜREN
3282;1;BE;2542;Pieterlen;392;;Pieterlen;2;BÜREN
;;BE;2542;Perles;392;;Pieterlen;2;BÜREN
898;1;BE;3295;Rüti bei Büren;393;;Rüti bei Büren;2;BÜREN
552;1;BE;3251;Wengi bei Büren;394;;Wengi;2;BÜREN
;;BE;3251;Scheunenberg;394;;Wengi;2;BÜREN
;;BE;3251;Waltwil;394;;Wengi;2;BÜREN
1014;1;BE;3426;Aefligen;401;;Aefligen;2;BURGDORF
551;1;BE;3473;Alchenstorf;402;;Alchenstorf;2;BURGDORF
1027;1;BE;3323;Bäriswil;403;;Bäriswil;2;BURGDORF
14714;1;BE;3400;Burgdorf;404;;Burgdorf;2;BURGDORF
;;BE;3400;Berthoud;404;;Burgdorf;2;BURGDORF
;;BE;3401;Burgdorf;404;;Burgdorf;2;BURGDORF
;;BE;3402;Burgdorf;404;;Burgdorf;2;BURGDORF
;;BE;3400;Ey *;404;;Burgdorf;2;BURGDORF
1483;1;BE;3423;Ersigen;405;;Ersigen;2;BURGDORF
;;BE;3423;Rudswil;405;;Ersigen;2;BURGDORF
2948;1;BE;3415;Hasle bei Burgdorf;406;;Hasle bei Burgdorf;2;BURGDORF
;;BE;3419;Biembach;406;;Hasle bei Burgdorf;2;BURGDORF
;;BE;3432;Goldbach;406;;Hasle bei Burgdorf;2;BURGDORF
;;BE;3415;Gomerkinden;406;;Hasle bei Burgdorf;2;BURGDORF
;;BE;3415;Kalchofen;406;;Hasle bei Burgdorf;2;BURGDORF
;;BE;3415;Schafhausen im Emmental;406;;Hasle bei Burgdorf;2;BURGDORF
;;BE;3432;Thalgraben *;406;;Hasle bei Burgdorf;2;BURGDORF
1543;1;BE;3412;Heimiswil;407;;Heimiswil;2;BURGDORF
;;BE;3412;Busswil bei Heimiswil;407;;Heimiswil;2;BURGDORF
;;BE;3413;Guetisberg;407;;Heimiswil;2;BURGDORF
;;BE;3416;Hirsegg;407;;Heimiswil;2;BURGDORF
;;BE;3413;Hub;407;;Heimiswil;2;BURGDORF
;;BE;3413;Kaltacker;407;;Heimiswil;2;BURGDORF
;;BE;3418;Vorder Rinderbach *;407;;Heimiswil;2;BURGDORF
193;1;BE;3429;Hellsau;408;;Hellsau;2;BURGDORF
2000;1;BE;3324;Hindelbank;409;;Hindelbank;2;BURGDORF
255;1;BE;3429;Höchstetten;410;;Höchstetten;2;BURGDORF
445;1;BE;3309;Kernenried;411;;Kernenried;2;BURGDORF
5244;1;BE;3422;Kirchberg;412;;Kirchberg (BE);2;BURGDORF
;;BE;3422;Bütikofen;412;;Kirchberg (BE);2;BURGDORF
;;BE;3400;Ey * bei Kirchberg;412;;Kirchberg (BE);2;BURGDORF
;;BE;3422;Vilbringen;412;;Kirchberg (BE);2;BURGDORF
2066;1;BE;3425;Koppigen;413;;Koppigen;2;BURGDORF
;;BE;3425;Oeschberg;413;;Koppigen;2;BURGDORF
;;BE;3425;St. Niklaus bei Koppigen;413;;Koppigen;2;BURGDORF
2480;1;BE;3326;Krauchthal;414;;Krauchthal;2;BURGDORF
;;BE;3326;Dieterswald;414;;Krauchthal;2;BURGDORF
;;BE;3325;Grauenstein;414;;Krauchthal;2;BURGDORF
