"C_ID";"G_ID";"JAHR";"B"
"VS";"1003";2007;209
"VS";"1040";2007;3004
"VS";"1058";2007;98
"AG";"1060";2007;28560.9926514293
"AI";"1060";2007;1308.88280978594
"AR";"1060";2007;2503.9175667166
"BE";"1060";2007;19656.4703951544
"BL";"1060";2007;19000.4450997339
"BS";"1060";2007;1778.72353751363
"FR";"1060";2007;910.637470615305
"GE";"1060";2007;848.064516161102
"GL";"1060";2007;504.38558713275
"GR";"1060";2007;2788.23134837886
"JU";"1060";2007;426.581842116469
"LU";"1060";2007;3913.46391205286
"NE";"1060";2007;4925.71398245275
"NW";"1060";2007;2093.50745876699
"OW";"1060";2007;392.194936624243
"SG";"1060";2007;10931.5267711182
"SH";"1060";2007;7862.71465889557
"SO";"1060";2007;5989.64511937108
"SZ";"1060";2007;1233.22238281308
"TG";"1060";2007;10637.6695191205
"TI";"1060";2007;15135.0550510527
"UR";"1060";2007;207.825163164718
"VD";"1060";2007;1446.56551903207
"VS";"1060";2007;1207.60060903246
"ZG";"1060";2007;2175.74985332455
"ZH";"1060";2007;114419.16725775
"AG";"1097";2007;4398.61
"AI";"1097";2007;1
"AR";"1097";2007;10.99
"BE";"1097";2007;61.23
"BL";"1097";2007;24.01
"BS";"1097";2007;7.33
"FR";"1097";2007;1214.33
"GE";"1097";2007;59.16
"GL";"1097";2007;18.41
"GR";"1097";2007;5.99
"JU";"1097";2007;0.75
"LU";"1097";2007;19.34
"NE";"1097";2007;12.65
"NW";"1097";2007;0.83
"OW";"1097";2007;0.58
"SG";"1097";2007;1700.89
"SH";"1097";2007;8.66
"SO";"1097";2007;41.73
"SZ";"1097";2007;23.49
"TG";"1097";2007;31.76
"TI";"1097";2007;10.34
"VD";"1097";2007;77.97
"VS";"1097";2007;1667.57
"ZG";"1097";2007;28.65
"ZH";"1097";2007;1295.18
"VS";"1113";2007;4633
"AG";"1142";2007;18.5
"AI";"1142";2007;13
"AR";"1142";2007;2
"BE";"1142";2007;41.75
"BL";"1142";2007;3.67
"BS";"1142";2007;13.58
"FR";"1142";2007;106.66
"GE";"1142";2007;0.5
"GR";"1142";2007;7.83
"JU";"1142";2007;7
"LU";"1142";2007;65.67
"NW";"1142";2007;1
"SG";"1142";2007;49.75
"SO";"1142";2007;70.01
