"C_ID";"G_ID";"JAHR";"B"
"FR";"0509";2006;62.999999999
"GE";"0509";2006;64.250000001
"GL";"0509";2006;41.666666666
"GR";"0509";2006;148.333333333
"JU";"0509";2006;87.166666671
"LU";"0509";2006;2277.750000033
"NE";"0509";2006;5.75
"NW";"0509";2006;520.91666667
"OW";"0509";2006;555.50000001
"SG";"0509";2006;757.33333332
"SH";"0509";2006;759.583333313
"SO";"0509";2006;7195.6666666
"SZ";"0509";2006;933.99999999
"TG";"0509";2006;977.83333336
"TI";"0509";2006;134.166666667
"UR";"0509";2006;861.74999996
"VD";"0509";2006;123.249999997
"VS";"0509";2006;54.666666666
"ZG";"0509";2006;2973.74999985
"ZH";"0509";2006;5294.999999988
"AG";"0556";2006;17.66
"AI";"0556";2006;1
"AR";"0556";2006;5.5
"BE";"0556";2006;15.58
"BL";"0556";2006;4.92
"BS";"0556";2006;8.17
"GE";"0556";2006;4
"GL";"0556";2006;9
"GR";"0556";2006;2460.47
"LU";"0556";2006;11.25
"NW";"0556";2006;6
"SG";"0556";2006;19.5
"SH";"0556";2006;1.83
"SO";"0556";2006;9.33
"SZ";"0556";2006;1.42
"TG";"0556";2006;19.5
"TI";"0556";2006;50.17
"VD";"0556";2006;9.33
"ZG";"0556";2006;6
"ZH";"0556";2006;149.25
"ZH";"0558";2006;2813
"VS";"0591";2006;8551
"VS";"0623";2006;1390
"VS";"0627";2006;2711
"AG";"0749";2006;494.17
"AI";"0749";2006;3
"AR";"0749";2006;42.33
"BE";"0749";2006;2119.72
"BL";"0749";2006;420.81
"BS";"0749";2006;132.75
"FR";"0749";2006;6187.12
"GE";"0749";2006;8641.03
"GL";"0749";2006;60.91
"GR";"0749";2006;36.98
"JU";"0749";2006;505.02
"LU";"0749";2006;262.57
"NE";"0749";2006;3503.39
"NW";"0749";2006;11.24
"OW";"0749";2006;1.92
"SG";"0749";2006;377.61
"SH";"0749";2006;59.23
"SO";"0749";2006;171.57
"SZ";"0749";2006;572.74
"TG";"0749";2006;5680.07
"TI";"0749";2006;6590.6
"UR";"0749";2006;32.09
"VD";"0749";2006;18225.07
"VS";"0749";2006;2146.83
"ZG";"0749";2006;112.75
"ZH";"0749";2006;10356.3
"VS";"0758";2006;1506
"AG";"0762";2006;1749.4
"AI";"0762";2006;200.9
"AR";"0762";2006;361.6
"BE";"0762";2006;7256.5
"BL";"0762";2006;377
"BS";"0762";2006;594
"FR";"0762";2006;294.5
"GE";"0762";2006;1008.5
"GL";"0762";2006;300.2
"GR";"0762";2006;325.5
"JU";"0762";2006;88
"LU";"0762";2006;1803.1
"NE";"0762";2006;124.7
"NW";"0762";2006;697.4
"OW";"0762";2006;564
"SG";"0762";2006;2591.7
"SH";"0762";2006;197.3
"SO";"0762";2006;1092.3
"SZ";"0762";2006;1479.9
"TG";"0762";2006;1453
"TI";"0762";2006;1334.9
"UR";"0762";2006;401
"VD";"0762";2006;848.3
"VS";"0762";2006;223.2
"ZG";"0762";2006;576
"ZH";"0762";2006;4582.3
"AG";"0774";2006;14.09
"AR";"0774";2006;1
"BE";"0774";2006;100.82
"BL";"0774";2006;11.75
"BS";"0774";2006;2
"FR";"0774";2006;288.22
"GE";"0774";2006;68.15
"GL";"0774";2006;1
"GR";"0774";2006;27
"JU";"0774";2006;2.08
"LU";"0774";2006;13.74
"NE";"0774";2006;7.83
"SG";"0774";2006;5
"SH";"0774";2006;21
"SO";"0774";2006;35.01
"SZ";"0774";2006;44.5
"TG";"0774";2006;8.74
"TI";"0774";2006;13.91
"VD";"0774";2006;712.96
"VS";"0774";2006;10423.43
"ZG";"0774";2006;17.17
"ZH";"0774";2006;626.26
"GL";"0780";2006;3657
"GR";"0780";2006;28
"SG";"0780";2006;115
"SZ";"0780";2006;53
"VS";"0790";2006;1587
"GR";"0820";2006;2807
"AG";"0829";2006;630.403
"AR";"0829";2006;5
"BE";"0829";2006;2877.4
"BL";"0829";2006;136.7
"BS";"0829";2006;82.2
"FR";"0829";2006;64.8
"GE";"0829";2006;305
"GL";"0829";2006;27.4
"GR";"0829";2006;57.4
"JU";"0829";2006;89.6
"LU";"0829";2006;993.1
"NE";"0829";2006;13
"NW";"0829";2006;28.8
"OW";"0829";2006;65.2
"SG";"0829";2006;251.1
"SH";"0829";2006;25.8
"SO";"0829";2006;115
"SZ";"0829";2006;335.6
"TG";"0829";2006;55.7
"TI";"0829";2006;279
"UR";"0829";2006;18.8
"VD";"0829";2006;424.2
"VS";"0829";2006;30
"ZG";"0829";2006;3460
"ZH";"0829";2006;9299.4
"AG";"0881";2006;14756
"AI";"0881";2006;158
"AR";"0881";2006;2360
"BE";"0881";2006;37218
"BL";"0881";2006;6652
"BS";"0881";2006;1205
"FR";"0881";2006;2598
"GE";"0881";2006;1825
"GL";"0881";2006;230
"GR";"0881";2006;3584
"JU";"0881";2006;5053
"LU";"0881";2006;5322
"NE";"0881";2006;514
"NW";"0881";2006;600
"OW";"0881";2006;460
"SG";"0881";2006;9634
"SH";"0881";2006;2059
"SO";"0881";2006;7217
"SZ";"0881";2006;1797
"TG";"0881";2006;3513
"TI";"0881";2006;5928
"UR";"0881";2006;192
"VD";"0881";2006;4882
"VS";"0881";2006;1240
"ZG";"0881";2006;1843
"ZH";"0881";2006;32350
"VS";"0895";2006;818
"GR";"0901";2006;2456
"AG";"0923";2006;871
"AI";"0923";2006;14
"AR";"0923";2006;190
"BE";"0923";2006;1560
"BL";"0923";2006;1252
"BS";"0923";2006;258
"FR";"0923";2006;97
"GL";"0923";2006;67
"GR";"0923";2006;247
"LU";"0923";2006;75
"NW";"0923";2006;21
"OW";"0923";2006;9
"SG";"0923";2006;598
"SH";"0923";2006;117
"SO";"0923";2006;139
"SZ";"0923";2006;121
"TG";"0923";2006;1829
"UR";"0923";2006;10
"ZG";"0923";2006;52
"ZH";"0923";2006;5239
"VS";"0941";2006;15077
"AG";"0966";2006;22
"AR";"0966";2006;5
"BE";"0966";2006;17
"BL";"0966";2006;15
"BS";"0966";2006;2
"GL";"0966";2006;12
"GR";"0966";2006;5952
"JU";"0966";2006;1
"LU";"0966";2006;30
"SG";"0966";2006;92
"SH";"0966";2006;2
"SO";"0966";2006;5
"SZ";"0966";2006;12
"TG";"0966";2006;20
"TI";"0966";2006;4
"UR";"0966";2006;3
"VD";"0966";2006;2
"ZG";"0966";2006;15
"ZH";"0966";2006;89
"VS";"0979";2006;2112
"AG";"0994";2006;34801.58333194
"AI";"0994";2006;203.500000005
"AR";"0994";2006;1088.416666593
"BE";"0994";2006;50215.9999994
"BL";"0994";2006;7566.499999743
"BS";"0994";2006;3136.50000013
"FR";"0994";2006;4822.74999993
"GE";"0994";2006;10208.416667314
"GL";"0994";2006;1776.333333359
"GR";"0994";2006;11726.66666655
"JU";"0994";2006;649.333333313
"LU";"0994";2006;20589.000000324
"NE";"0994";2006;17515.25000027
"NW";"0994";2006;929.083333373
"OW";"0994";2006;545.75000001
"SG";"0994";2006;19960.750000183
"SH";"0994";2006;8861.500000127
"SO";"0994";2006;3407.33333332
"SZ";"0994";2006;1551.333333343
"TG";"0994";2006;9744.166666977
"TI";"0994";2006;8474.916666636
"UR";"0994";2006;438.500000003
"VD";"0994";2006;21021.999999344
"VS";"0994";2006;10551.333333433
"ZG";"0994";2006;4330.249999993
"ZH";"0994";2006;59144.916667157
"VS";"1003";2006;211
"VS";"1040";2006;2948
"VS";"1058";2006;103
"AG";"1060";2006;30211
"AI";"1060";2006;1432
"AR";"1060";2006;2615
"BE";"1060";2006;22986
"BL";"1060";2006;20184
"BS";"1060";2006;1834
"FR";"1060";2006;944
"GE";"1060";2006;852
"GL";"1060";2006;566
"GR";"1060";2006;2922
"JU";"1060";2006;477
"LU";"1060";2006;4309
"NE";"1060";2006;4877
"NW";"1060";2006;2144
"OW";"1060";2006;404
"SG";"1060";2006;11728
"SH";"1060";2006;8804
"SO";"1060";2006;6690
"SZ";"1060";2006;1312
"TG";"1060";2006;11209
"TI";"1060";2006;15753
"UR";"1060";2006;219
"VD";"1060";2006;1534
"VS";"1060";2006;1298
"ZG";"1060";2006;2363
"ZH";"1060";2006;116135
"AG";"1097";2006;2325.62
"AI";"1097";2006;0.17
"AR";"1097";2006;14.83
"BE";"1097";2006;22.08
"BL";"1097";2006;16
"BS";"1097";2006;5.17
"FR";"1097";2006;17.09
"GE";"1097";2006;80.33
"GL";"1097";2006;16.42
"GR";"1097";2006;2.83
"LU";"1097";2006;13.74
"NE";"1097";2006;9.33
"NW";"1097";2006;0.5
"SG";"1097";2006;2025.38
"SH";"1097";2006;4.91
"SO";"1097";2006;32.4
"SZ";"1097";2006;18.62
"TG";"1097";2006;20.35
"TI";"1097";2006;5.99
"VD";"1097";2006;71.49
"VS";"1097";2006;1706.39
"ZG";"1097";2006;33.67
"ZH";"1097";2006;1429.88
"VS";"1113";2006;4614
"AG";"1142";2006;20
"AI";"1142";2006;14
"AR";"1142";2006;2
"BE";"1142";2006;53
"BL";"1142";2006;3
"BS";"1142";2006;16
"FR";"1142";2006;116
"GE";"1142";2006;1
"GR";"1142";2006;8
"JU";"1142";2006;6
"LU";"1142";2006;68
"NW";"1142";2006;1
"SG";"1142";2006;53
"SO";"1142";2006;75
"SZ";"1142";2006;462
"TG";"1142";2006;1
"TI";"1142";2006;68
"UR";"1142";2006;10
"VD";"1142";2006;3
"VS";"1142";2006;46
"ZG";"1142";2006;8
"ZH";"1142";2006;25
"ZH";"1147";2006;464
"FR";"1159";2006;870
"GE";"1159";2006;2629
"JU";"1159";2006;65
"NE";"1159";2006;180
"VD";"1159";2006;4732
"VS";"1159";2006;7197
"AG";"1215";2006;4
"BE";"1215";2006;4
"BS";"1215";2006;2.67
"FR";"1215";2006;39.35
"GE";"1215";2006;48.93
"JU";"1215";2006;5.08
"LU";"1215";2006;1.74
"NE";"1215";2006;13.84
"TI";"1215";2006;5
"VD";"1215";2006;4659.92
"VS";"1215";2006;2441.18
"ZH";"1215";2006;10.84
"AG";"1318";2006;52.5
"SZ";"1318";2006;93.35
"ZG";"1318";2006;10.11
"ZH";"1318";2006;4955.21
"AG";"1322";2006;5724
"AG";"1328";2006;90
"AI";"1328";2006;1
"AR";"1328";2006;11
"BE";"1328";2006;52
"BL";"1328";2006;32
"BS";"1328";2006;10
"GL";"1328";2006;9
"GR";"1328";2006;13
"LU";"1328";2006;19
"NW";"1328";2006;3
"OW";"1328";2006;2
"SG";"1328";2006;105
"SH";"1328";2006;46
"SO";"1328";2006;10
"SZ";"1328";2006;20
"TG";"1328";2006;445
"UR";"1328";2006;1
"ZG";"1328";2006;18
"ZH";"1328";2006;6444
"GL";"1331";2006;4
"GR";"1331";2006;11
"SG";"1331";2006;1128
"VS";"1362";2006;567
"AG";"1384";2006;27501
"AI";"1384";2006;4596
"AR";"1384";2006;17135
"BE";"1384";2006;31625
"BL";"1384";2006;25362
"BS";"1384";2006;14258
"FR";"1384";2006;6063
"GE";"1384";2006;13972
"GL";"1384";2006;3121
"GR";"1384";2006;12133
"JU";"1384";2006;687
"LU";"1384";2006;8509
"NE";"1384";2006;3214
"NW";"1384";2006;916
"OW";"1384";2006;604
"SG";"1384";2006;126777
"SH";"1384";2006;6481
"SO";"1384";2006;16237
"SZ";"1384";2006;8468
"TG";"1384";2006;47339
"TI";"1384";2006;17608
"UR";"1384";2006;432
"VD";"1384";2006;12800
"VS";"1384";2006;3100
"ZG";"1384";2006;4468
"ZH";"1384";2006;164688
"AG";"1386";2006;824
"AI";"1386";2006;3
"AR";"1386";2006;34
"BE";"1386";2006;1198
"BL";"1386";2006;227
"BS";"1386";2006;151
"FR";"1386";2006;374
"GE";"1386";2006;154
"GL";"1386";2006;39
"GR";"1386";2006;165
"JU";"1386";2006;120
"LU";"1386";2006;220
"NE";"1386";2006;206
"NW";"1386";2006;24
"OW";"1386";2006;20
"SG";"1386";2006;633
"SH";"1386";2006;106
"SO";"1386";2006;472
"SZ";"1386";2006;83
"TG";"1386";2006;232
"TI";"1386";2006;255
"UR";"1386";2006;15
"VD";"1386";2006;1090
"VS";"1386";2006;163
"ZG";"1386";2006;95
"ZH";"1386";2006;4877
"AG";"1395";2006;15.166666665
"AI";"1395";2006;1
"BE";"1395";2006;12799.08333315
"BL";"1395";2006;0.833333333
"BS";"1395";2006;3.416666667
"FR";"1395";2006;4009.916666736
"GE";"1395";2006;903.58333326
"GR";"1395";2006;1.666666666
"JU";"1395";2006;236.833333336
"LU";"1395";2006;4.666666667
"NE";"1395";2006;351.250000003
"OW";"1395";2006;2.833333333
"SG";"1395";2006;2.083333333
"SH";"1395";2006;2
"SO";"1395";2006;7.416666666
"SZ";"1395";2006;3
"TG";"1395";2006;0.083333333
"TI";"1395";2006;47.833333333
"VD";"1395";2006;800.333333325
"VS";"1395";2006;454.833333335
"ZG";"1395";2006;2.416666666
"ZH";"1395";2006;45.333333335
"AG";"1401";2006;218
"AI";"1401";2006;62
"AR";"1401";2006;236
"BE";"1401";2006;241
"BL";"1401";2006;34
"BS";"1401";2006;10
"FR";"1401";2006;16
"GE";"1401";2006;6
"GL";"1401";2006;5
"GR";"1401";2006;84
"LU";"1401";2006;33
"NE";"1401";2006;1
"NW";"1401";2006;5
"OW";"1401";2006;11
"SG";"1401";2006;6593
"SH";"1401";2006;18
"SO";"1401";2006;37
"SZ";"1401";2006;31
"TG";"1401";2006;208
"TI";"1401";2006;22
"UR";"1401";2006;1
"VD";"1401";2006;41
"VS";"1401";2006;6
"ZG";"1401";2006;33
"ZH";"1401";2006;1753
"AG";"1423";2006;3397
"BE";"1423";2006;911
"BL";"1423";2006;108
"BS";"1423";2006;102
"LU";"1423";2006;56
"SO";"1423";2006;68
"SZ";"1423";2006;22
"ZG";"1423";2006;22
"ZH";"1423";2006;108
"AG";"1442";2006;45.32
"BE";"1442";2006;800.06
"BL";"1442";2006;26
"FR";"1442";2006;92.41
"GE";"1442";2006;3.25
"JU";"1442";2006;102.08
"LU";"1442";2006;0.83
"NE";"1442";2006;13.32
"OW";"1442";2006;1
"SG";"1442";2006;1
