"C_ID";"G_ID";"JAHR";"B"
"AR";"0312";2008;1037.66666666667
"BE";"0312";2008;16859
"BL";"0312";2008;8854.75
"BS";"0312";2008;2681.75
"FR";"0312";2008;3872.75
"GE";"0312";2008;1712.33333333334
"GL";"0312";2008;1216
"GR";"0312";2008;1348.41666666667
"JU";"0312";2008;858.25
"LU";"0312";2008;7332.91666666666
"NE";"0312";2008;1736
"NW";"0312";2008;425.416666666666
"OW";"0312";2008;455.583333333333
"SG";"0312";2008;9256
"SH";"0312";2008;2856.91666666667
"SO";"0312";2008;10966.25
"SZ";"0312";2008;3170.66666666667
"TG";"0312";2008;7202.33333333334
"TI";"0312";2008;10590
"UR";"0312";2008;1669.25
"VD";"0312";2008;9929.25
"VS";"0312";2008;6308.33333333333
"ZG";"0312";2008;1762.08333333333
"ZH";"0312";2008;29323
"AG";"0343";2008;10780.51
"AI";"0343";2008;34.82
"AR";"0343";2008;197.33
"BE";"0343";2008;26347.04
"BL";"0343";2008;7957.16
"BS";"0343";2008;8889.54
"FR";"0343";2008;9366.8
"GE";"0343";2008;11146.18
"GL";"0343";2008;2408.24
"GR";"0343";2008;457.97
"JU";"0343";2008;157.99
"LU";"0343";2008;240.74
"NE";"0343";2008;345.93
"NW";"0343";2008;26.92
"OW";"0343";2008;28.92
"SG";"0343";2008;2291.75
"SH";"0343";2008;1000.74
"SO";"0343";2008;1139.72
"SZ";"0343";2008;128
"TG";"0343";2008;299.69
"TI";"0343";2008;1301.69
"UR";"0343";2008;6.83
"VD";"0343";2008;2714.91
"VS";"0343";2008;841.73
"ZG";"0343";2008;72.92
"ZH";"0343";2008;2690.99
"AG";"0360";2008;1500.32
"BE";"0360";2008;1578.13
"LU";"0360";2008;10705.75
"NW";"0360";2008;58.42
"OW";"0360";2008;47.5
"SO";"0360";2008;491.92
"SZ";"0360";2008;59.26
"UR";"0360";2008;5.58
"ZG";"0360";2008;143.75
"ZH";"0360";2008;866.84
"AG";"0376";2008;9485
"AI";"0376";2008;296
"AR";"0376";2008;1330
"BE";"0376";2008;84406
"BL";"0376";2008;7697
"BS";"0376";2008;2590
"FR";"0376";2008;13532
"GE";"0376";2008;14581
