"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0263"	"3"	"756.07"	"236"
"0263"	"3"	"756.06"	"237"
"0263"	"3"	"756.17"	"86"
"0263"	"3"	"756.14"	"87"
"0263"	"3"	"756.11"	"105"
"0263"	"3"	"756.05"	"85"
"0263"	"3"	"756.20"	"174"
"0263"	"3"	"756.21"	"448"
"0263"	"3"	"756.04"	"224"
"0263"	"3"	"756.22"	"53262"
"0263"	"3"	"756.23"	"2546"
"0263"	"3"	"756.09"	"2163"
"0263"	"3"	"756.01"	"690"
"0290"	"3"	"756.19"	"88088"
"0290"	"3"	"756.16"	"1244"
"0290"	"3"	"756.15"	"1792"
"0290"	"3"	"756.02"	"28890"
"0290"	"3"	"756.13"	"18434"
"0290"	"3"	"756.12"	"6950"
"0290"	"3"	"756.10"	"16355"
"0290"	"3"	"756.25"	"9010"
"0290"	"3"	"756.08"	"3549"
"0290"	"3"	"756.18"	"6465"
"0290"	"3"	"756.26"	"5152"
"0290"	"3"	"756.03"	"94082"
"0290"	"3"	"756.24"	"2410"
"0290"	"3"	"756.07"	"11578"
"0290"	"3"	"756.06"	"9449"
"0290"	"3"	"756.17"	"35089"
"0290"	"3"	"756.14"	"4344"
"0290"	"3"	"756.11"	"12475"
"0290"	"3"	"756.05"	"23813"
"0290"	"3"	"756.20"	"14233"
"0290"	"3"	"756.21"	"14354"
"0290"	"3"	"756.04"	"9358"
"0290"	"3"	"756.22"	"6134"
"0290"	"3"	"756.23"	"9168"
"0290"	"3"	"756.09"	"19484"
"0290"	"3"	"756.01"	"71662"
"0294"	"3"	"756.03"	"5248"
"0312"	"3"	"756.19"	"19802"
"0312"	"3"	"756.16"	"71"
"0312"	"3"	"756.15"	"1038"
"0312"	"3"	"756.02"	"16859"
"0312"	"3"	"756.13"	"8855"
"0312"	"3"	"756.12"	"2682"
"0312"	"3"	"756.10"	"3873"
"0312"	"3"	"756.25"	"1712"
"0312"	"3"	"756.08"	"1216"
"0312"	"3"	"756.18"	"1348"
"0312"	"3"	"756.26"	"858"
"0312"	"3"	"756.03"	"7333"
"0312"	"3"	"756.24"	"1736"
"0312"	"3"	"756.07"	"425"
"0312"	"3"	"756.06"	"456"
"0312"	"3"	"756.17"	"9256"
"0312"	"3"	"756.14"	"2857"
"0312"	"3"	"756.11"	"10966"
"0312"	"3"	"756.05"	"3171"
"0312"	"3"	"756.20"	"7202"
"0312"	"3"	"756.21"	"10590"
"0312"	"3"	"756.04"	"1669"
"0312"	"3"	"756.22"	"9929"
"0312"	"3"	"756.23"	"6308"
"0312"	"3"	"756.09"	"1762"
"0312"	"3"	"756.01"	"29323"
"0343"	"3"	"756.19"	"10781"
"0343"	"3"	"756.16"	"35"
"0343"	"3"	"756.15"	"197"
"0343"	"3"	"756.02"	"26347"
"0343"	"3"	"756.13"	"7957"
"0343"	"3"	"756.12"	"8890"
"0343"	"3"	"756.10"	"9367"
"0343"	"3"	"756.25"	"11146"
"0343"	"3"	"756.08"	"2408"
"0343"	"3"	"756.18"	"458"
"0343"	"3"	"756.26"	"158"
"0343"	"3"	"756.03"	"241"
"0343"	"3"	"756.24"	"346"
"0343"	"3"	"756.07"	"27"
"0343"	"3"	"756.06"	"29"
"0343"	"3"	"756.17"	"2292"
"0343"	"3"	"756.14"	"1001"
"0343"	"3"	"756.11"	"1140"
"0343"	"3"	"756.05"	"128"
"0343"	"3"	"756.20"	"300"
"0343"	"3"	"756.21"	"1302"
"0343"	"3"	"756.04"	"7"
"0343"	"3"	"756.22"	"2715"
"0343"	"3"	"756.23"	"842"
"0343"	"3"	"756.09"	"73"
"0343"	"3"	"756.01"	"2691"
"0360"	"3"	"756.19"	"1500"
"0360"	"3"	"756.02"	"1578"
"0360"	"3"	"756.03"	"10706"
"0360"	"3"	"756.07"	"58"
"0360"	"3"	"756.06"	"48"
"0360"	"3"	"756.11"	"492"
"0360"	"3"	"756.05"	"59"
"0360"	"3"	"756.04"	"6"
"0360"	"3"	"756.09"	"144"
"0360"	"3"	"756.01"	"867"
"0376"	"3"	"756.19"	"9485"
"0376"	"3"	"756.16"	"296"
"0376"	"3"	"756.15"	"1330"
"0376"	"3"	"756.02"	"84406"
"0376"	"3"	"756.13"	"7697"
"0376"	"3"	"756.12"	"2590"
"0376"	"3"	"756.10"	"13532"
"0376"	"3"	"756.25"	"14581"
"0376"	"3"	"756.08"	"506"
"0376"	"3"	"756.18"	"8584"
"0376"	"3"	"756.26"	"985"
"0376"	"3"	"756.03"	"10256"
"0376"	"3"	"756.24"	"1268"
"0376"	"3"	"756.07"	"2853"
"0376"	"3"	"756.06"	"697"
"0376"	"3"	"756.17"	"17333"
"0376"	"3"	"756.14"	"1283"
"0376"	"3"	"756.11"	"7968"
"0376"	"3"	"756.05"	"2143"
"0376"	"3"	"756.20"	"3777"
"0376"	"3"	"756.21"	"29682"
"0376"	"3"	"756.04"	"1664"
"0376"	"3"	"756.22"	"25624"
"0376"	"3"	"756.23"	"10924"
"0376"	"3"	"756.09"	"2415"
"0376"	"3"	"756.01"	"39515"
"0411"	"3"	"756.19"	"5355"
"0411"	"3"	"756.16"	"112"
"0411"	"3"	"756.15"	"227"
"0411"	"3"	"756.02"	"1176"
"0411"	"3"	"756.13"	"286"
"0411"	"3"	"756.12"	"349"
"0411"	"3"	"756.10"	"286"
"0411"	"3"	"756.25"	"113"
"0411"	"3"	"756.08"	"224"
"0411"	"3"	"756.18"	"397"
"0411"	"3"	"756.26"	"63"
"0411"	"3"	"756.03"	"12327"
"0411"	"3"	"756.24"	"222"
"0411"	"3"	"756.07"	"1104"
"0411"	"3"	"756.06"	"742"
"0411"	"3"	"756.17"	"1121"
"0411"	"3"	"756.14"	"215"
"0411"	"3"	"756.11"	"515"
"0411"	"3"	"756.05"	"1534"
"0411"	"3"	"756.20"	"509"
"0411"	"3"	"756.21"	"148"
"0411"	"3"	"756.04"	"1068"
"0411"	"3"	"756.22"	"73"
